Semana;Udemy;Coursera;EDX
18/09/2022;79;43;10
25/09/2022;76;44;9
02/10/2022;72;39;9
09/10/2022;76;43;9
16/10/2022;74;43;9
23/10/2022;71;37;9
30/10/2022;79;41;9
06/11/2022;78;40;9
13/11/2022;81;40;9
20/11/2022;89;37;8
27/11/2022;80;36;9
04/12/2022;73;36;8
11/12/2022;76;37;9
18/12/2022;78;36;8
25/12/2022;78;36;8
